     cSp mSp cAr mAr borrados_cSp borrados_mSp  borrados_cAr  borrados_mAr
145    1   1   1   1            1            1             1             1
146    1   1   1   1            1            1             1             1
147    1   1   1   1            1            1             1             1
148    1   1   1   1            1            1             1             1
149    1   1   1   1            1            1             1             1
150    1   1   1   1            1            1             1             1
151   10  10  10   0            0           10            10             0
152    0  10  10   0           10            0            10            10
153   10  10   0   0           10            0            10            10
154    0  10  10  10            0            0            10            10
155   10  10   0   0            0            0            10             0
156    0   0   0  10            0            0            10             0
157    0   0  10  10           10           10             0            10
158    0   0  10   0           10            0            10            10
159   10   0  10   0            0            0             0            10
160   10   0   0  10           10            0            10             0
161   10   0  10  10           10           10             0            10
162    0  10   0   0            0            0            10             0
163   10  10  10   0           10           10            10             0
164    0  10  10   0            0           10            10             0
165   10   0  10  10           10           10             0             0
166   10   0  10  10            0           10            10            10
167    0   0  10  10           10           10             0             0
168    0   0  10   0            0            0             0            10
169    0   0  10   0            0            0            10            10
170   10  10   0  10            0            0            10             0
171   10   0  10  10           10            0            10             0
172    0   0   0  10           10            0             0            10
173   10   0  10   0           10            0            10            10
174   10  10   0  10            0           10             0             0
175    0   0  10   0           10           10            10             0
176  100 100 100   0            0          100           100             0
177    0 100 100   0          100            0           100           100
178  100 100   0   0          100            0           100           100
179    0 100 100 100            0            0           100           100
180  100 100   0   0            0            0           100             0
181    0   0   0 100            0            0           100             0
182    0   0 100 100          100          100             0           100
183    0   0 100   0          100            0           100           100
184  100   0 100   0            0            0             0           100
185  100   0   0 100          100            0           100             0
186  100   0 100 100          100          100             0           100
187    0 100   0   0            0            0           100             0
188  100 100 100   0            1            1             1             0
189    0   1   1   0            0            1             1             0
190    1   0   1   1            1            1             0             0
191    1   0   1   1            0            1             1             1
192    0   0   1   1            1            1             0             0
193    0   0   1   0            0            0             0             1
194    0   0   1   0            0            0             1             1
195    1   1   0   1            0            0             1             0
196    1   0   1   1            1            0             1             0
197    0   0   0   1            1            0             0             1
198    1   0   1   0            1            0             1             1
199    1   1   0   1            0            1             0             0
200    0   0   1   0            1            1             1             0
201   10  10  10  10           10           10            10            10
202   10  10  10  10           10           10            10            10
203   10  10  10  10           10           10            10            10
204   10  10  10  10           10           10            10            10
205   10  10  10  10           10           10            10            10
206   10  10  10  10           10           10            10            10
207   10  10  10  10           10           10            10            10
208   10  10  10  10           10           10            10            10
209   10  10  10  10           10           10            10            10
210   10  10  10  10           10           10            10            10
211   10  10  10  10           10           10            10            10
212   10  10  10  10           10           10            10            10
213   10  10  10  10           10           10            10            10
214   10  10  10  10           10           10            10            10
215   10  10  10  10           10           10            10            10
216   10  10  10  10           10           10            10            10
217   10  10  10  10           10           10            10            10
218   10  10  10  10           10           10            10            10
219   10  10  10  10           10           10            10            10
220   10  10  10  10           10           10            10            10
221   10  10  10  10           10           10            10            10
222   10  10  10  10           10           10            10            10
223   10  10  10  10           10           10            10            10
224   10  10  10  10           10           10            10            10
225   10  10  10  10           10           10            10            10
226  100 100 100 100          100          100           100           100
227  100 100 100 100          100          100           100           100
228  100 100 100 100          100          100           100           100
229  100 100 100 100          100          100           100           100
230  100 100 100 100          100          100           100           100
231  100 100 100 100          100          100           100           100
232  100 100 100 100          100          100           100           100
233  100 100 100 100          100          100           100           100
234  100 100 100 100          100          100           100           100
235  100 100 100 100          100          100           100           100
236  100 100 100 100          100          100           100           100
237  100 100 100 100          100          100           100           100
238  100 100 100 100            1            1             1             1
239    1   1   1   1            1            1             1             1
240    1   1   1   1            1            1             1             1
241    1   1   1   1            1            1             1             1
242    1   1   1   1            1            1             1             1
243    1   1   1   1            1            1             1             1
244    1   1   1   1            1            1             1             1
245    1   1   1   1            1            1             1             1
246    1   1   1   1            1            1             1             1
247    1   1   1   1            1            1             1             1
248    1   1   1   1            1            1             1             1
249    1   1   1   1            1            1             1             1
250    1   1   1   1            1            1             1             1
251    0   0  10   0            0           10             0            10
252   10  10  10  10            0            0            10            10
253    0  10   0  10            0           10             0            10
254    0   0  10   0           10            0             0             0
255    0   0   0   0           10           10             0             0
256    0  10  10   0            0           10            10            10
257    0  10  10  10           10           10             0            10
258    0   0  10   0            0            0             0            10
259    0   0   0  10           10           10            10             0
260    0   0  10   0           10            0            10             0
261    0  10  10   0            0           10            10             0
262    0  10  10  10            0           10             0            10
263    0  10   0   0            0            0            10             0
264    0  10   0  10           10           10            10            10
265    0   0  10  10            0           10             0            10
266    0  10   0  10            0            0            10             0
267   10   0   0   0            0            0             0             0
268   10  10   0   0            0           10            10             0
269    0  10  10  10            0           10            10            10
270   10  10   0  10            0            0            10             0
271    0   0   0  10            0            0             0            10
272   10  10  10   0            0            0            10             0
273   10   0  10   0            0           10            10             0
274    0  10  10   0            0           10            10            10
275    0  10   0  10            0           10             0             0
276    0   0 100   0            0          100             0           100
277  100 100 100 100            0            0           100           100
278    0 100   0 100            0          100             0           100
279    0   0 100   0          100            0             0             0
280    0   0   0   0          100          100             0             0
281    0 100 100   0            0          100           100           100
282    0 100 100 100          100          100             0           100
283    0   0 100   0            0            0             0           100
284    0   0   0 100          100          100           100             0
285    0   0 100   0          100            0           100             0
286    0 100 100   0            0          100           100             0
287    0 100 100 100            0          100             0           100
288    0 100   0   0            0            0             1             0
289    0   1   0   1            1            1             1             1
290    0   0   1   1            0            1             0             1
291    0   1   0   1            0            0             1             0
292    1   0   0   0            0            0             0             0
293    1   1   0   0            0            1             1             0
294    0   1   1   1            0            1             1             1
295    1   1   0   1            0            0             1             0
296    0   0   0   1            0            0             0             1
297    1   1   1   0            0            0             1             0
298    1   0   1   0            0            1             1             0
299    0   1   1   0            0            1             1             1
300    0   1   0   1            0            1             0             0
301   10  10  10  10           10           10            10            10
302   10  10  10  10           10           10            10            10
303   10  10  10  10           10           10            10            10
304   10  10  10  10           10           10            10            10
305   10  10  10  10           10           10            10            10
306   10  10  10  10           10           10            10            10
307   10  10  10  10           10           10            10            10
308   10  10  10  10           10           10            10            10
309   10  10  10  10           10           10            10            10
310   10  10  10  10           10           10            10            10
311   10  10  10  10           10           10            10            10
312   10  10  10  10           10           10            10            10
313   10  10  10  10           10           10            10            10
314   10  10  10  10           10           10            10            10
315   10  10  10  10           10           10            10            10
316   10  10  10  10           10           10            10            10
317   10  10  10  10           10           10            10            10
318   10  10  10  10           10           10            10            10
319   10  10  10  10           10           10            10            10
320   10  10  10  10           10           10            10            10
321   10  10  10  10           10           10            10            10
322   10  10  10  10           10           10            10            10
323   10  10  10  10           10           10            10            10
324   10  10  10  10           10           10            10            10
325   10  10  10  10           10           10            10            10
326  100 100 100 100          100          100           100           100
327  100 100 100 100          100          100           100           100
328  100 100 100 100          100          100           100           100
329  100 100 100 100          100          100           100           100
330  100 100 100 100          100          100           100           100
331  100 100 100 100          100          100           100           100
332  100 100 100 100          100          100           100           100
333  100 100 100 100          100          100           100           100
334  100 100 100 100          100          100           100           100
335  100 100 100 100          100          100           100           100
336  100 100 100 100          100          100           100           100
337  100 100 100 100          100          100           100           100
338  100 100 100 100            1            1             1             1
339    1   1   1   1            1            1             1             1
340    1   1   1   1            1            1             1             1
341    1   1   1   1            1            1             1             1
342    1   1   1   1            1            1             1             1
343    1   1   1   1            1            1             1             1
344    1   1   1   1            1            1             1             1
345    1   1   1   1            1            1             1             1
346    1   1   1   1            1            1             1             1
347    1   1   1   1            1            1             1             1
348    1   1   1   1            1            1             1             1
349    1   1   1   1            1            1             1             1
350    1   1   1   1            1            1             1             1
351   10   0  10  10            0            0             0             0
352    0   0   0   0            0            0             0            10
353   10  10   0   0           10           10             0            10
354   10   0  10   0           10           10            10             0
355   10   0   0  10            0           10             0            10
356    0   0  10   0           10           10            10             0
357   10   0   0   0            0            0            10            10
358   10   0  10   0           10           10             0             0
359    0  10   0  10           10            0            10            10
360   10  10   0   0           10            0             0             0
361   10   0  10  10           10           10            10             0
362   10  10   0   0           10           10             0            10
363   10   0   0   0           10            0            10            10
364    0   0   0   0            0            0             0             0
365    0   0   0  10           10           10             0             0
366   10  10   0  10           10            0            10             0
367   10  10  10   0           10            0             0            10
368    0  10   0  10            0            0            10             0
369   10  10  10   0           10            0             0             0
370    0   0  10  10           10            0            10             0
371   10  10   0   0            0           10             0            10
372   10   0  10  10           10           10             0             0
373   10   0   0   0           10            0            10            10
374   10  10  10   0           10           10             0             0
375   10  10   0  10           10            0             0             0
376  100   0 100 100            0            0             0             0
377    0   0   0   0            0            0             0           100
378  100 100   0   0          100          100             0           100
379  100   0 100   0          100          100           100             0
380  100   0   0 100            0          100             0           100
381    0   0 100   0          100          100           100             0
382  100   0   0   0            0            0           100           100
383  100   0 100   0          100          100             0             0
384    0 100   0 100          100            0           100           100
385  100 100   0   0          100            0             0             0
386  100   0 100 100          100          100           100             0
387  100 100   0   0          100          100             0           100
388  100   0   0   0            1            0             1             1
389    0   0   0   0            0            0             0             0
390    0   0   0   1            1            1             0             0
391    1   1   0   1            1            0             1             0
392    1   1   1   0            1            0             0             1
393    0   1   0   1            0            0             1             0
394    1   1   1   0            1            0             0             0
395    0   0   1   1            1            0             1             0
396    1   1   0   0            0            1             0             1
397    1   0   1   1            1            1             0             0
398    1   0   0   0            1            0             1             1
399    1   1   1   0            1            1             0             0
400    1   1   0   1            1            0             0             0
401   10  10  10  10           10           10            10            10
402   10  10  10  10           10           10            10            10
403   10  10  10  10           10           10            10            10
404   10  10  10  10           10           10            10            10
405   10  10  10  10           10           10            10            10
406   10  10  10  10           10           10            10            10
407   10  10  10  10           10           10            10            10
408   10  10  10  10           10           10            10            10
409   10  10  10  10           10           10            10            10
410   10  10  10  10           10           10            10            10
411   10  10  10  10           10           10            10            10
412   10  10  10  10           10           10            10            10
413   10  10  10  10           10           10            10            10
414   10  10  10  10           10           10            10            10
415   10  10  10  10           10           10            10            10
416   10  10  10  10           10           10            10            10
417   10  10  10  10           10           10            10            10
418   10  10  10  10           10           10            10            10
419   10  10  10  10           10           10            10            10
420   10  10  10  10           10           10            10            10
421   10  10  10  10           10           10            10            10
422   10  10  10  10           10           10            10            10
423   10  10  10  10           10           10            10            10
424   10  10  10  10           10           10            10            10
425   10  10  10  10           10           10            10            10
426  100 100 100 100          100          100           100           100
427  100 100 100 100          100          100           100           100
428  100 100 100 100          100          100           100           100
429  100 100 100 100          100          100           100           100
430  100 100 100 100          100          100           100           100
431  100 100 100 100          100          100           100           100
432  100 100 100 100          100          100           100           100
433  100 100 100 100          100          100           100           100
434  100 100 100 100          100          100           100           100
435  100 100 100 100          100          100           100           100
436  100 100 100 100          100          100           100           100
437  100 100 100 100          100          100           100           100
438  100 100 100 100            1            1             1             1
439    1   1   1   1            1            1             1             1
440    1   1   1   1            1            1             1             1
441    1   1   1   1            1            1             1             1
442    1   1   1   1            1            1             1             1
443    1   1   1   1            1            1             1             1
444    1   1   1   1            1            1             1             1
445    1   1   1   1            1            1             1             1
446    1   1   1   1            1            1             1             1
447    1   1   1   1            1            1             1             1
448    1   1   1   1            1            1             1             1
449    1   1   1   1            1            1             1             1
450    1   1   1   1            1            1             1             1
451   10  10   0  10           10            0            10             0
452    0  10  10  10            0           10             0             0
453    0   0   0   0           10            0             0            10
454   10   0   0  10           10           10             0             0
455   10  10   0  10            0           10            10            10
456    0  10   0  10            0            0             0            10
457   10  10   0  10           10           10            10             0
458    0   0   0   0           10            0            10             0
459   10  10   0  10            0           10             0             0
460    0  10  10  10           10           10             0             0
461    0  10  10  10            0            0            10             0
462   10   0   0   0           10           10             0             0
463   10   0  10   0           10           10             0            10
464   10   0  10   0            0           10            10            10
465    0  10   0   0            0            0             0             0
466   10   0   0  10           10            0             0            10
467   10  10   0   0           10           10             0            10
468    0  10  10  10            0           10             0            10
469    0   0   0  10           10           10             0            10
470   10  10  10   0            0            0             0             0
471   10   0  10   0           10           10             0            10
472    0  10   0   0            0           10            10            10
473   10  10   0   0            0           10            10            10
474    0   0  10   0           10            0             0             0
475   10  10   0   0           10            0            10             0
476  100 100   0 100          100            0           100             0
477    0 100 100 100            0          100             0             0
478    0   0   0   0          100            0             0           100
479  100   0   0 100          100          100             0             0
480  100 100   0 100            0          100           100           100
481    0 100   0 100            0            0             0           100
482  100 100   0 100          100          100           100             0
483    0   0   0   0          100            0           100             0
484  100 100   0 100            0          100             0             0
485    0 100 100 100          100          100             0             0
486    0 100 100 100            0            0           100             0
487  100   0   0   0          100          100             0             0
488  100   0 100   0            1            1             0             1
489    1   0   1   0            0            1             1             1
490    0   1   0   0            0            0             0             0
491    1   0   0   1            1            0             0             1
492    1   1   0   0            1            1             0             1
493    0   1   1   1            0            1             0             1
494    0   0   0   1            1            1             0             1
495    1   1   1   0            0            0             0             0
496    1   0   1   0            1            1             0             1
497    0   1   0   0            0            1             1             1
498    1   1   0   0            0            1             1             1
499    0   0   1   0            1            0             0             0
500    1   1   0   0            1            0             1             0
501   10  10  10  10           10           10            10            10
502   10  10  10  10           10           10            10            10
503   10  10  10  10           10           10            10            10
504   10  10  10  10           10           10            10            10
505   10  10  10  10           10           10            10            10
506   10  10  10  10           10           10            10            10
507   10  10  10  10           10           10            10            10
508   10  10  10  10           10           10            10            10
509   10  10  10  10           10           10            10            10
510   10  10  10  10           10           10            10            10
511   10  10  10  10           10           10            10            10
512   10  10  10  10           10           10            10            10
513   10  10  10  10           10           10            10            10
514   10  10  10  10           10           10            10            10
515   10  10  10  10           10           10            10            10
516   10  10  10  10           10           10            10            10
517   10  10  10  10           10           10            10            10
518   10  10  10  10           10           10            10            10
519   10  10  10  10           10           10            10            10
520   10  10  10  10           10           10            10            10
521   10  10  10  10           10           10            10            10
522   10  10  10  10           10           10            10            10
523   10  10  10  10           10           10            10            10
524   10  10  10  10           10           10            10            10
525   10  10  10  10           10           10            10            10
526  100 100 100 100          100          100           100           100
527  100 100 100 100          100          100           100           100
528  100 100 100 100          100          100           100           100
529  100 100 100 100          100          100           100           100
530  100 100 100 100          100          100           100           100
531  100 100 100 100          100          100           100           100
532  100 100 100 100          100          100           100           100
533  100 100 100 100          100          100           100           100
534  100 100 100 100          100          100           100           100
535  100 100 100 100          100          100           100           100
536  100 100 100 100          100          100           100           100
537  100 100 100 100          100          100           100           100
538  100 100 100 100            1            1             1             1
539    1   1   1   1            1            1             1             1
540    1   1   1   1            1            1             1             1
541    1   1   1   1            1            1             1             1
542    1   1   1   1            1            1             1             1
543    1   1   1   1            1            1             1             1
544    1   1   1   1            1            1             1             1
545    1   1   1   1            1            1             1             1
546    1   1   1   1            1            1             1             1
547    1   1   1   1            1            1             1             1
548    1   1   1   1            1            1             1             1
549    1   1   1   1            1            1             1             1
550    1   1   1   1            1            1             1             1
551   10  10   0   0           10           10             0             0
552   10   0   0  10            0            0             0            10
553   10  10   0  10           10           10            10             0
554    0  10   0   0           10            0            10             0
555    0   0   0   0            0           10             0            10
556    0   0  10  10            0           10            10             0
557    0   0  10   0           10            0            10            10
558    0  10   0   0            0            0             0             0
559   10  10  10   0           10            0             0            10
560    0   0   0   0           10            0             0            10
561    0   0  10   0           10            0            10             0
562   10  10  10   0            0            0            10             0
563    0   0  10  10           10           10             0             0
564   10  10   0   0           10            0             0            10
565    0   0   0  10           10           10             0            10
566   10  10  10   0            0           10             0             0
567   10   0  10   0            0            0             0             0
568    0  10   0  10            0            0            10            10
569    0  10  10   0            0            0            10             0
570   10   0  10  10            0           10             0             0
571    0   0   0   0           10           10            10             0
572   10   0   0  10            0            0             0             0
573   10   0   0  10            0            0            10             0
574   10   0  10   0           10           10            10             0
575    0   0  10   0            0            0            10            10
576  100 100   0   0          100          100             0             0
577  100   0   0 100            0            0             0           100
578  100 100   0 100          100          100           100             0
579    0 100   0   0          100            0           100             0
580    0   0   0   0            0          100             0           100
581    0   0 100 100            0          100           100             0
582    0   0 100   0          100            0           100           100
583    0 100   0   0            0            0             0             0
584  100 100 100   0          100            0             0           100
585    0   0   0   0          100            0             0           100
586    0   0 100   0          100            0           100             0
587  100 100 100   0            0            0           100             0
588    0   0 100 100            1            1             0             0
589    1   1   0   0            1            0             0             1
590    0   0   0   1            1            1             0             1
591    1   1   1   0            0            1             0             0
592    1   0   1   0            0            0             0             0
593    0   1   0   1            0            0             1             1
594    0   1   1   0            0            0             1             0
595    1   0   1   1            0            1             0             0
596    0   0   0   0            1            1             1             0
597    1   0   0   1            0            0             0             0
598    1   0   0   1            0            0             1             0
599    1   0   1   0            1            1             1             0
600    0   0   1   0            0            0             1             1
601   10  10  10  10           10           10            10            10
602   10  10  10  10           10           10            10            10
603   10  10  10  10           10           10            10            10
604   10  10  10  10           10           10            10            10
605   10  10  10  10           10           10            10            10
606   10  10  10  10           10           10            10            10
607   10  10  10  10           10           10            10            10
608   10  10  10  10           10           10            10            10
609   10  10  10  10           10           10            10            10
610   10  10  10  10           10           10            10            10
611   10  10  10  10           10           10            10            10
612   10  10  10  10           10           10            10            10
613   10  10  10  10           10           10            10            10
614   10  10  10  10           10           10            10            10
615   10  10  10  10           10           10            10            10
616   10  10  10  10           10           10            10            10
617   10  10  10  10           10           10            10            10
618   10  10  10  10           10           10            10            10
619   10  10  10  10           10           10            10            10
620   10  10  10  10           10           10            10            10
621   10  10  10  10           10           10            10            10
622   10  10  10  10           10           10            10            10
623   10  10  10  10           10           10            10            10
624   10  10  10  10           10           10            10            10
625   10  10  10  10           10           10            10            10
626  100 100 100 100          100          100           100           100
627  100 100 100 100          100          100           100           100
628  100 100 100 100          100          100           100           100
629  100 100 100 100          100          100           100           100
630  100 100 100 100          100          100           100           100
631  100 100 100 100          100          100           100           100
632  100 100 100 100          100          100           100           100
633  100 100 100 100          100          100           100           100
634  100 100 100 100          100          100           100           100
635  100 100 100 100          100          100           100           100
636  100 100 100 100          100          100           100           100
637  100 100 100 100          100          100           100           100
638  100 100 100 100            1            1             1             1
639    1   1   1   1            1            1             1             1
640    1   1   1   1            1            1             1             1
641    1   1   1   1            1            1             1             1
642    1   1   1   1            1            1             1             1
643    1   1   1   1            1            1             1             1
644    1   1   1   1            1            1             1             1
645    1   1   1   1            1            1             1             1
646    1   1   1   1            1            1             1             1
647    1   1   1   1            1            1             1             1
648    1   1   1   1            1            1             1             1
649    1   1   1   1            1            1             1             1
650    1   1   1   1            1            1             1             1
651   10  10  10  10           10            0            10             0
652   10   0  10   0            0            0            10             0
653   10  10  10   0           10            0             0            10
654    0   0  10  10           10           10            10             0
655   10   0  10   0            0           10            10            10
656    0   0   0  10            0           10             0            10
657    0   0  10   0           10            0             0             0
658   10  10   0  10           10            0            10             0
659    0   0  10   0           10           10            10             0
660   10  10  10   0           10           10             0             0
661   10   0   0   0            0           10             0             0
662    0  10   0  10            0           10            10             0
663   10   0  10  10           10           10            10            10
664   10   0  10   0           10            0            10             0
665    0   0  10   0           10           10            10             0
666   10   0   0  10            0            0            10            10
667   10  10  10   0           10            0            10             0
668    0  10  10  10            0            0             0            10
669    0  10   0  10            0            0            10             0
670   10   0   0   0           10           10             0            10
671   10   0  10   0            0            0            10             0
672   10  10  10   0           10           10            10             0
673   10  10   0   0           10            0             0             0
674    0  10   0   0            0           10             0            10
675    0  10  10   0           10            0            10            10
676  100 100 100 100          100            0           100             0
677  100   0 100   0            0            0           100             0
678  100 100 100   0          100            0             0           100
679    0   0 100 100          100          100           100             0
680  100   0 100   0            0          100           100           100
681    0   0   0 100            0          100             0           100
682    0   0 100   0          100            0             0             0
683  100 100   0 100          100            0           100             0
684    0   0 100   0          100          100           100             0
685  100 100 100   0          100          100             0             0
686  100   0   0   0            0          100             0             0
687    0 100   0 100            0          100           100             0
688  100   0 100 100            1            1             1             1
689    1   0   1   0            1            0             1             0
690    0   0   1   0            1            1             1             0
691    1   0   0   1            0            0             1             1
692    1   1   1   0            1            0             1             0
693    0   1   1   1            0            0             0             1
694    0   1   0   1            0            0             1             0
695    1   0   0   0            1            1             0             1
696    1   0   1   0            0            0             1             0
697    1   1   1   0            1            1             1             0
698    1   1   0   0            1            0             0             0
699    0   1   0   0            0            1             0             1
700    0   1   1   0            1            0             1             1
701   10  10  10  10           10           10            10            10
702   10  10  10  10           10           10            10            10
703   10  10  10  10           10           10            10            10
704   10  10  10  10           10           10            10            10
705   10  10  10  10           10           10            10            10
706   10  10  10  10           10           10            10            10
707   10  10  10  10           10           10            10            10
708   10  10  10  10           10           10            10            10
709   10  10  10  10           10           10            10            10
710   10  10  10  10           10           10            10            10
711   10  10  10  10           10           10            10            10
712   10  10  10  10           10           10            10            10
713   10  10  10  10           10           10            10            10
714   10  10  10  10           10           10            10            10
715   10  10  10  10           10           10            10            10
716   10  10  10  10           10           10            10            10
717   10  10  10  10           10           10            10            10
718   10  10  10  10           10           10            10            10
719   10  10  10  10           10           10            10            10
720   10  10  10  10           10           10            10            10
721   10  10  10  10           10           10            10            10
722   10  10  10  10           10           10            10            10
723   10  10  10  10           10           10            10            10
724   10  10  10  10           10           10            10            10
725   10  10  10  10           10           10            10            10
726  100 100 100 100          100          100           100           100
727  100 100 100 100          100          100           100           100
728  100 100 100 100          100          100           100           100
729  100 100 100 100          100          100           100           100
730  100 100 100 100          100          100           100           100
731  100 100 100 100          100          100           100           100
732  100 100 100 100          100          100           100           100
733  100 100 100 100          100          100           100           100
734  100 100 100 100          100          100           100           100
735  100 100 100 100          100          100           100           100
736  100 100 100 100          100          100           100           100
737  100 100 100 100          100          100           100           100
738  100 100 100 100            1            1             1             1
739    1   1   1   1            1            1             1             1
740    1   1   1   1            1            1             1             1
741    1   1   1   1            1            1             1             1
742    1   1   1   1            1            1             1             1
743    1   1   1   1            1            1             1             1
744    1   1   1   1            1            1             1             1
745    1   1   1   1            1            1             1             1
746    1   1   1   1            1            1             1             1
747    1   1   1   1            1            1             1             1
748    1   1   1   1            1            1             1             1
749    1   1   1   1            1            1             1             1
750    1   1   1   1            1            1             1             1
751    0   0   0  10            0            0             0            10
752    0  10   0   0            0           10            10            10
753   10   0  10  10           10           10            10             0
754    0  10   0   0            0            0            10             0
755    0   0   0  10           10            0             0            10
756    0   0  10  10            0           10             0             0
757    0   0  10   0            0           10            10            10
758    0   0   0   0            0            0            10            10
759    0  10  10   0           10           10             0            10
760    0  10   0  10            0           10             0            10
761   10  10  10   0            0            0            10             0
762    0   0  10  10           10           10             0            10
763    0   0  10   0            0            0             0            10
764    0   0   0  10            0           10             0             0
765    0  10  10  10           10            0            10            10
766   10  10  10   0            0           10             0             0
767    0   0  10   0            0            0             0            10
768   10   0   0  10            0            0            10            10
769    0  10   0   0            0            0            10             0
770    0  10  10  10            0            0             0             0
771    0   0  10  10            0           10            10             0
772   10  10   0  10            0           10             0            10
